time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2020-01-06,12.4,11.3,17.9,,0.0,,,,,,
2020-01-07,13.5,11.1,,,8.9,,,,,,
2020-01-08,11.0,,14.8,,23.1,,,,,,
2020-01-09,9.7,6.7,15.1,,3.0,,,,,,
2020-01-10,10.8,5.2,18.0,,0.0,,,,,,
2020-01-12,13.3,9.5,18.7,,0.0,,,,,,
2020-01-21,13.1,,20.4,,0.0,,,,,,
2020-01-28,14.6,12.1,19.0,,3.0,,,,,,
2020-01-29,13.5,1.0,19.4,,8.9,,,,,,
2020-01-30,12.5,7.7,19.4,,0.0,,,,,,
2020-02-21,17.4,,26.4,,0.3,,,,,,
2020-02-22,18.2,11.4,25.0,,0.5,,,,,,
2020-02-23,17.9,12.2,25.7,,0.0,,,,,,
2020-02-24,18.3,11.1,25.7,,0.0,,,,,,
2020-02-29,17.3,,24.8,,0.3,,,,,,
2020-03-01,18.4,11.0,26.3,,3.0,,,,,,
2020-03-02,19.6,12.1,27.2,,0.0,,,,,,
2020-03-05,20.6,14.8,27.1,,0.3,,,,,,
2020-03-06,15.9,,25.7,,2.0,,,,,,
2020-03-07,13.8,11.8,21.4,,24.9,,,,,,
2020-03-08,17.4,10.4,23.6,,4.1,,,,,,
2020-03-09,16.4,11.4,23.7,,0.0,,,,,,
2020-03-12,17.8,,25.9,,18.0,,,,,,
2020-03-13,17.3,11.2,25.9,,4.1,,,,,,
2020-03-14,13.8,,25.3,,15.0,,,,,,
2020-03-15,17.4,10.4,24.5,,2.0,,,,,,
2020-03-16,18.8,11.2,25.2,,0.0,,,,,,
2020-03-22,21.7,14.1,28.8,,0.0,,,,,,
2020-03-27,20.6,,28.0,,0.3,,,,,,
2020-03-28,21.9,15.2,27.2,,2.0,,,,,,
2020-03-29,21.8,15.8,28.0,,0.0,,,,,,
2020-04-08,22.8,,30.7,,0.3,,,,,,
2020-04-09,24.0,15.2,32.0,,0.0,,,,,,
2020-04-18,26.1,17.8,34.6,,17.0,,,,,,
2020-04-19,26.2,19.6,34.6,,39.9,,,,,,
2020-04-20,22.9,,33.4,,0.0,,,,,,
2020-04-21,24.2,15.8,31.1,,5.1,,,,,,
2020-04-22,26.1,17.0,33.0,,0.0,,,,,,
2020-04-27,23.2,,29.7,,0.0,,,,,,
2020-04-28,26.5,18.7,33.5,,0.3,,,,,,
2020-04-29,28.3,21.2,34.5,,0.0,,,,,,
2020-05-03,26.3,,34.7,,5.1,,,,,,
